"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
10430,"NONE","Indoor recreation room","NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",2,NA,"YES",NA,"PRIVATE",4153470,"NO","YES","NO","1  HOMEWOOD AVE","NO","UNAVAILABLE","13","DOUBLE PANE",1940,2017,4,"NO","NO",67,0,"Green Bin / Organics","NO",16,"1935-1950"
10431,"NONE",NA,"YES","NO","40 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","METCAP LIVING MANAGEMENT INC.","PRIVATE",4153471,"NO","NO","NO","155  WELLESLEY ST E","YES","PAID","13","DOUBLE PANE",1966,2017,18,"NO","NO",118,0,"Green Bin / Organics","NO",0,"Post 1950"
10432,"NONE",NA,"YES","NO","35 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4153474,"NO","YES","NO","166  CARLTON ST","YES","FREE","13","DOUBLE PANE",1960,2017,11,"YES","NO",92,0,"Green Bin / Organics","NO",0,"Post 1950"
10433,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","LIVING PROPERTIES INC.","PRIVATE",4153492,"NO","NO","NO","58  MAITLAND ST","NO","UNAVAILABLE","13","DOUBLE PANE",1928,2017,4,"NO","NO",45,0,"Green Bin / Organics","NO",0,"Pre 1935"
10434,"NONE",NA,"YES","NO","12 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Carport","YES","MAYA INVESTMENTS LTD.","PRIVATE",4154016,"NO","YES","NO","132  CASTLEFIELD AVE","NO","UNAVAILABLE","08","DOUBLE PANE",1955,2017,4,"YES","NO",26,9,"Recycling bins","NO",0,"Post 1950"
10435,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","RKH INVESTMENT LTD","PRIVATE",4154031,"NO","YES","NO","3474  YONGE ST","NO","UNAVAILABLE","08","DOUBLE PANE",1940,2017,4,"YES","YES",27,1,"Green Bin / Organics","NO",0,"1935-1950"
10436,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","HAVCARE INVESTMENTS INC.","PRIVATE",4154044,"NO","YES","NO","500  DAWES RD","YES","PAID","19","SINGLE PANE",1966,2018,14,"NO","NO",305,1,"Green Bin / Organics","NO",0,"Post 1950"
10437,"INDIVIDUAL UNITS",NA,"NO","NO","8 indoor parking spots and 8 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","EICHLER MANAGEMENT GROUP","PRIVATE",4153507,"YES","YES","NO","510  JARVIS ST","YES","FREE","13","SINGLE PANE",1888,2017,3,"NO","YES",16,0,"Green Bin / Organics","NO",0,"Pre 1935"
10438,"NONE","Indoor recreation room","NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Surface Parking","YES",NA,"TCHC",4153515,"NO","NO","NO","21  ST JOSEPH ST","YES","BOTH","13","DOUBLE PANE",1994,2017,5,"YES","YES",35,0,"Recycling bins","NO",2,"Post 1950"
10439,"NONE","Outdoor rec facilities , Child play area","YES","YES","0 indoor parking spots and 12 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Carport , Surface Parking","YES","CAPREIT","PRIVATE",4154055,"NO","YES","NO","6  PARK VISTA","YES","FREE","19","SINGLE PANE",1971,2017,10,"YES","NO",108,1,"Green Bin / Organics","NO",0,"Post 1950"
10440,"NONE",NA,"NO","YES","0 indoor parking spots and 6 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","FALCO PROPERTIES","PRIVATE",4154059,"NO","YES","NO","127  GLENWOOD CRES","YES","FREE","19","DOUBLE PANE",1955,2017,3,"NO","NO",57,0,"Unknown","NO",14,"Post 1950"
10441,"NONE","Indoor pool , Sauna","YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","YES",4,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","RPMS","PRIVATE",4153548,"NO","YES","NO","77  HUNTLEY ST","YES","UNAVAILABLE","13","DOUBLE PANE",1973,2017,25,"YES","NO",561,0,"Green Bin / Organics","YES",2,"Post 1950"
10442,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","FORCED AIR GAS","YES","YES","NO",0,NA,"YES",NA,"PRIVATE",4153551,"NO","YES","NO","30  CHARLES ST E","YES","UNAVAILABLE","11","DOUBLE PANE",1915,2017,3,"NO","YES",21,0,"Recycling bins","NO",0,"Pre 1935"
10443,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Parking Deck","YES","FIRM CAPITAL PROPERTIES INC","PRIVATE",4154090,"NO","YES","NO","165  COSBURN AVE","YES","UNAVAILABLE","14","SINGLE PANE",1950,2017,6,"YES","YES",83,0,"Green Bin / Organics","NO",0,"Post 1950"
10444,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","NO","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4152925,"NO","NO","NO","11  RANDOLPH AVE","YES","BOTH","09","DOUBLE PANE",1994,2017,6,"YES","YES",95,6,"Unknown","NO",2,"Post 1950"
10445,"NONE","Outdoor pool , Outdoor rec facilities","YES","YES","30 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","BEAUX PROPERTIES MANAGEMENT","PRIVATE",4152929,"NO","YES","NO","60  MOUNTVIEW AVE","YES","PAID","04","DOUBLE PANE",1965,2017,16,"YES","NO",221,0,"Recycling bins","NO",1,"Post 1950"
10446,"NONE","Outdoor pool , Indoor recreation room , Outdoor rec facilities","YES","NO","45 indoor parking spots and 90 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","MINTO PROPERTIES INC.","PRIVATE",4152930,"NO","YES","NO","66  OAKMOUNT RD","YES","PAID","04","DOUBLE PANE",1986,2017,12,"YES","NO",171,1,"Green Bin / Organics","YES",0,"Post 1950"
10447,"NONE",NA,"YES","YES","40 indoor parking spots and 15 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES","VERTICA RESIDENT SERVICES","PRIVATE",4152935,"NO","YES","NO","40  HIGH PARK AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1969,2017,20,"YES","NO",331,0,"Green Bin / Organics","YES",0,"Post 1950"
10448,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","HOT WATER","NO","NO","NO",0,"Carport , Surface Parking","YES","2054128 ONTARIO LTD","PRIVATE",4152937,"NO","NO","NO","1920  BLOOR ST W","NO","UNAVAILABLE","04","DOUBLE PANE",1914,2017,3,"NO","YES",16,10,"Green Bin / Organics","NO",0,"Pre 1935"
10449,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",0,NA,"YES",NA,"PRIVATE",4152938,"NO","YES","NO","1942  BLOOR ST W","YES","UNAVAILABLE","04","DOUBLE PANE",1940,2017,4,"NO","NO",16,0,"Green Bin / Organics","NO",0,"1935-1950"
10450,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",0,NA,"YES",NA,"PRIVATE",4152939,"NO","YES","NO","1950  BLOOR ST W","YES","UNAVAILABLE","04","SINGLE PANE",1940,2017,4,"NO","NO",16,0,"Green Bin / Organics","NO",0,"1935-1950"
10451,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Ground Level Garage","YES","METCAP LIVING MANAGEMENT INC","PRIVATE",4152952,"NO","YES","NO","115  TYNDALL AVE","YES","FREE","04","DOUBLE PANE",1963,2017,10,"YES","NO",108,0,"Green Bin / Organics","NO",0,"Post 1950"
10452,"INDIVIDUAL UNITS","Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","54 indoor parking spots and 6 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4152954,"NO","YES","NO","200  DUFFERIN ST","YES","FREE","04","DOUBLE PANE",1964,2017,14,"YES","NO",251,1,"Green Bin / Organics","YES",0,"Post 1950"
10453,"INDIVIDUAL UNITS","Indoor recreation room , Outdoor rec facilities","YES","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","NO",1,"Surface Parking","YES",NA,"SOCIAL HOUSING",4153568,"NO","NO","NO","205  PARLIAMENT ST","YES","UNAVAILABLE","13","DOUBLE PANE",1992,2017,6,"YES","NO",16,0,"Recycling bins","YES",0,"Post 1950"
10454,"NONE",NA,"NO","NO","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",1,NA,"YES",NA,"SOCIAL HOUSING",4153569,"NO","NO","NO","223  SHERBOURNE ST","NO","UNAVAILABLE","13","DOUBLE PANE",1988,2017,6,"NO","NO",60,0,"Green Bin / Organics","NO",0,"Post 1950"
10455,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"TCHC",4153573,"NO","NO","NO","251  SHERBOURNE ST","YES","UNAVAILABLE","13","DOUBLE PANE",1975,2017,7,"NO","YES",200,6,"Recycling bins","NO",1,"Post 1950"
10456,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,NA,"NO","TCH","TCHC",4153578,"NO","NO","NO","230  RIVER ST","YES","UNAVAILABLE","13","DOUBLE PANE",1961,2017,3,"YES","YES",25,0,"Green Bin / Organics","NO",2,"Post 1950"
10457,"NONE",NA,"NO","NO","15 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"NO","WESTSIDE STOREYS LIMITED","PRIVATE",4153583,"NO","YES","NO","317  SHERBOURNE ST","NO","UNAVAILABLE","13","DOUBLE PANE",1931,2017,4,"NO","NO",38,0,"Green Bin / Organics","NO",0,"Pre 1935"
10458,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage","YES","METCAP LIVING MANAGEMENT INC","PRIVATE",4152958,"NO","YES","NO","47  SPENCER AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1962,2017,5,"NO","NO",56,0,"Recycling bins","NO",0,"Post 1950"
10459,"NONE",NA,"YES","NO","0 indoor parking spots and 9 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Underground Garage","YES",NA,"PRIVATE",4152966,"NO","YES","NO","124  TYNDALL AVE","NO","UNAVAILABLE","04","DOUBLE PANE",1956,2017,4,"NO","YES",28,0,"Green Bin / Organics","NO",0,"Post 1950"
10460,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Surface Parking","YES","MEDALLION CORPORATION","PRIVATE",4152985,"NO","YES","NO","145  JAMESON AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1960,2017,9,"YES","YES",80,3,"Green Bin / Organics","NO",0,"Post 1950"
10461,"NONE",NA,"NO","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Surface Parking","YES","RANEE MANAGEMENT","PRIVATE",4153593,"NO","YES","NO","730  ONTARIO ST","YES","BOTH","13","DOUBLE PANE",1967,2017,14,"NO","NO",279,3,"Green Bin / Organics","NO",0,"Post 1950"
10462,"NONE",NA,"NO","NO","0 indoor parking spots and 8 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Ground Level Garage , Surface Parking","YES","EZ PROPERTY MANAGEMENT LTD","PRIVATE",4153603,"NO","NO","NO","451  BLOOR ST E","YES","UNAVAILABLE","13","DOUBLE PANE",1948,2018,6,"NO","YES",41,7,"Recycling bins","YES",0,"1935-1950"
10463,"NONE",NA,"YES","NO","0 indoor parking spots and 10 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","UPPER BROADVIEW SUITES LTD","PRIVATE",4153619,"NO","YES","NO","846-850  BROADVIEW AVE","NO","UNAVAILABLE","14","DOUBLE PANE",1940,2017,3,"NO","NO",23,6,"Green Bin / Organics","NO",0,"1935-1950"
10464,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES","METCAP LIVING MANAGEMENT INC","PRIVATE",4152997,"NO","YES","NO","115  DOWLING AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1965,2018,9,"NO","NO",70,0,"Recycling bins","NO",0,"Post 1950"
10465,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO","PERGOS DEVELOPMENTS","PRIVATE",4153008,"NO","NO","NO","1504  KING ST W","YES","UNAVAILABLE","04","DOUBLE PANE",1900,2017,3,"NO","NO",15,1,"Green Bin / Organics","NO",0,"Pre 1935"
10466,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4153013,"NO","NO","NO","146  DOWLING AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1973,2017,7,"NO","YES",68,0,"Green Bin / Organics","NO",0,"Post 1950"
10467,"NONE",NA,"YES","NO","30 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","FORCED AIR GAS","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","NO","1169676 ONTARIO LTD","PRIVATE",4153020,"NO","YES","NO","160  JAMESON AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1967,2017,7,"NO","NO",96,45,"Green Bin / Organics","NO",0,"Post 1950"
10468,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage","YES","METCAP LIVING MANAGEMENT INC","PRIVATE",4153029,"NO","YES","NO","200  JAMESON AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1962,2017,12,"NO","NO",100,0,"Recycling bins","NO",0,"Post 1950"
10469,"NONE",NA,"NO","NO","0 indoor parking spots and 5 outdoor parking spots","YES","YES","NO","ELECTRIC","YES","YES","NO",0,NA,"YES","ECUHOME CORPORATION","SOCIAL HOUSING",4153035,"NO","NO","NO","1387  QUEEN ST W","NO","UNAVAILABLE","04","THERMAL",1910,2017,4,"NO","NO",23,0,"Green Bin / Organics","NO",0,"Pre 1935"
10470,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4153626,"NO","NO","NO","1167  QUEEN ST E","YES","BOTH","14","DOUBLE PANE",1995,2017,5,"YES","YES",40,6,"Recycling bins","NO",1,"Post 1950"
10471,"NONE",NA,"YES","NO","0 indoor parking spots and 4 outdoor parking spots","NO","YES","NO","ELECTRIC","YES","YES","NO",0,"Surface Parking","YES",NA,"PRIVATE",4153650,"NO","YES","NO","768  PAPE AVE","NO","UNAVAILABLE","14","DOUBLE PANE",1990,2017,3,"NO","NO",15,0,"Green Bin / Organics","NO",0,"Post 1950"
10472,"NONE",NA,"NO","NO","22 indoor parking spots and 36 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","LA VALETTE PROPERTY MANAGEMENT","PRIVATE",4153049,"NO","YES","NO","246  RONCESVALLES AVE","YES","FREE","04","SINGLE PANE",1969,2017,3,"YES","YES",22,28,"Green Bin / Organics","NO",0,"Post 1950"
10473,"NONE","Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","25 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","ELECTRIC","NO","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"SOCIAL HOUSING",4153054,"NO","YES","NO","515  PARKSIDE DR","YES","FREE","04","DOUBLE PANE",1990,2017,6,"YES","YES",75,68,"Green Bin / Organics","YES",15,"Post 1950"
10474,"INDIVIDUAL UNITS","Indoor recreation room , Indoor exercise room","YES","YES","25 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"SOCIAL HOUSING",4153055,"NO","NO","NO","1709  BLOOR ST W","YES","FREE","04","DOUBLE PANE",1992,2017,6,"YES","YES",80,68,"Green Bin / Organics","YES",4,"Post 1950"
10475,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","AYKLER REAL ESTATE INC.","SOCIAL HOUSING",4153675,"NO","YES","NO","23  EDGEWOOD AVE","NO","UNAVAILABLE","19","SINGLE PANE",1959,2017,4,"NO","YES",24,0,"Green Bin / Organics","NO",0,"Post 1950"
10476,"NONE",NA,"YES","NO","0 indoor parking spots and 12 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","AYKLER REAL ESTATE INC.","SOCIAL HOUSING",4153680,"NO","YES","NO","136  KINGSTON RD","NO","UNAVAILABLE","19","SINGLE PANE",1959,2017,4,"NO","YES",94,0,"Green Bin / Organics","NO",0,"Post 1950"
10477,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","TCH","TCHC",4153683,"NO","NO","NO","98  ELMER AVE","YES","FREE","19","DOUBLE PANE",1955,2017,4,"YES","YES",36,1,"Green Bin / Organics","NO",1,"Post 1950"
10478,"INDIVIDUAL UNITS","Indoor recreation room","YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Ground Level Garage","NO","JDC PROPERTY MANAGEMENT INC.","PRIVATE",4153094,"NO","YES","NO","767  DOVERCOURT RD","NO","UNAVAILABLE","09","DOUBLE PANE",2008,2017,3,"NO","YES",19,0,"Unknown","NO",0,"Post 1950"
10479,"NONE",NA,"NO","NO","0 indoor parking spots and 12 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","IMTRADEX CORP","PRIVATE",4153095,"YES","YES","NO","220  DELAWARE AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1930,2017,4,"NO","YES",16,4,"Green Bin / Organics","NO",0,"Pre 1935"
10480,"INDIVIDUAL UNITS","Indoor recreation room","NO","YES","Not Available","NO","YES","NO","ELECTRIC","YES","YES","YES",0,"Surface Parking","YES","MAINSTAY HOUSING","SOCIAL HOUSING",4153106,"NO","NO","NO","223  OSLER ST","YES","FREE","09","DOUBLE PANE",1992,2017,4,"NO","NO",13,0,"Green Bin / Organics","YES",0,"Post 1950"
10481,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,NA,"YES","LINFRED INVESTMENT","PRIVATE",4153693,"NO","YES","NO","567  KINGSTON RD","YES","UNAVAILABLE","19","DOUBLE PANE",1950,2017,4,"NO","YES",15,0,"Green Bin / Organics","NO",0,"Post 1950"
10482,"INDIVIDUAL UNITS","Indoor recreation room , Child play area","YES","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","NO",2,"Surface Parking","YES","NEIGHBOURHOOD LINK HOMES","SOCIAL HOUSING",4153705,"NO","NO","NO","11  COATSWORTH CRES","YES","FREE","19","SINGLE PANE",1989,2017,6,"NO","NO",174,2,"Green Bin / Organics","YES",0,"Post 1950"
10483,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153711,"NO","YES","NO","600  KINGSTON RD","YES","FREE","19","DOUBLE PANE",1957,2017,8,"YES","NO",68,0,"Green Bin / Organics","YES",0,"Post 1950"
10484,"NONE",NA,"YES","NO","0 indoor parking spots and 9 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","SMALLWOOD CONSULTING LTD.","PRIVATE",4153716,"NO","NO","NO","619  WOODBINE AVE","NO","UNAVAILABLE","19","DOUBLE PANE",1956,2017,4,"NO","NO",50,24,"Green Bin / Organics","NO",0,"Post 1950"
10485,"NONE","Indoor recreation room","NO","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"SOCIAL HOUSING",4153138,"NO","YES","NO","24  SHAW ST","YES","FREE","10","DOUBLE PANE",1989,2017,9,"YES","NO",200,2,"Green Bin / Organics","YES",0,"Post 1950"
10486,"NONE","Indoor recreation room , Indoor exercise room","NO","NO","87 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",4,"Underground Garage , Garage accessible thru buildg","YES","AKELIUS CANADA LTD","PRIVATE",4153140,"NO","YES","NO","798  RICHMOND ST W","YES","UNAVAILABLE","10","DOUBLE PANE",1970,2017,13,"YES","NO",525,0,"Recycling bins","YES",0,"Post 1950"
10487,"NONE","Indoor recreation room , Child play area","NO","YES","Not Available","YES","YES","YES","ELECTRIC","YES","YES","NO",1,NA,"YES","HOMES FIRST SOCIETY","SOCIAL HOUSING",4153142,"NO","YES","NO","800  ADELAIDE ST W","YES","UNAVAILABLE","10","DOUBLE PANE",1987,2017,3,"NO","NO",50,0,"Green Bin / Organics","YES",4,"Post 1950"
10488,"NONE",NA,"YES","NO","8 indoor parking spots and 32 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES",NA,"PRIVATE",4153159,"NO","YES","NO","1044  COLLEGE ST","YES","UNAVAILABLE","09","DOUBLE PANE",1930,2017,3,"NO","YES",43,0,"Green Bin / Organics","NO",0,"Pre 1935"
10489,"NONE",NA,"YES","YES","0 indoor parking spots and 20 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4153164,"NO","YES","NO","323  RUSHOLME RD","YES","PAID","09","DOUBLE PANE",1968,2017,20,"YES","NO",226,0,"Green Bin / Organics","NO",226,"Post 1950"
10490,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","TCH","TCHC",4153724,"NO","NO","NO","2390  GERRARD ST E","YES","PAID","19","DOUBLE PANE",1991,2017,4,"YES","YES",16,2,"Green Bin / Organics","NO",1,"Post 1950"
